step 0, validation loss: 10.9695
hellaswag: 274/1000 = 27.40%
step 0, loss: 10.967782, lr: 6.0000e-06, norm: 9.8172, dt: 13868.64ms, tokens_sec: 37803.84hz
step 21, loss: 8.525419, lr: 1.3200e-04, norm: 2.5583, dt: 589.14ms, tokens_sec: 889913.43hz
step 22, loss: 8.415945, lr: 1.3800e-04, norm: 1.6777, dt: 588.24ms, tokens_sec: 891278.64hz
step 23, loss: 8.354759, lr: 1.4400e-04, norm: 1.9688, dt: 588.97ms, tokens_sec: 890175.69hz
step 24, loss: 8.181740, lr: 1.5000e-04, norm: 1.3571, dt: 591.36ms, tokens_sec: 886580.66hz
step 25, loss: 8.054832, lr: 1.5600e-04, norm: 1.3591, dt: 590.03ms, tokens_sec: 888574.31hz
step 26, loss: 7.998710, lr: 1.6200e-04, norm: 1.8640, dt: 590.09ms, tokens_sec: 888491.73hz
step 27, loss: 7.870541, lr: 1.6800e-04, norm: 1.2373, dt: 593.30ms, tokens_sec: 883676.33hz
step 28, loss: 7.782989, lr: 1.7400e-04, norm: 1.1497, dt: 593.44ms, tokens_sec: 883467.23hz
step 29, loss: 7.656666, lr: 1.8000e-04, norm: 1.1573, dt: 588.91ms, tokens_sec: 890263.26hz
step 30, loss: 7.710077, lr: 1.8600e-04, norm: 0.9718, dt: 592.03ms, tokens_sec: 885579.53hz
step 31, loss: 7.584491, lr: 1.9200e-04, norm: 1.7451, dt: 591.00ms, tokens_sec: 887115.72hz
step 32, loss: 7.531923, lr: 1.9800e-04, norm: 1.1598, dt: 591.66ms, tokens_sec: 886126.23hz
step 33, loss: 7.455244, lr: 2.0400e-04, norm: 1.0412, dt: 590.70ms, tokens_sec: 887575.47hz
step 34, loss: 7.298630, lr: 2.1000e-04, norm: 0.9868, dt: 590.36ms, tokens_sec: 888084.83hz
step 35, loss: 7.263043, lr: 2.1600e-04, norm: 0.9883, dt: 592.85ms, tokens_sec: 884351.90hz
step 36, loss: 7.246754, lr: 2.2200e-04, norm: 0.9682, dt: 587.65ms, tokens_sec: 892176.86hz
step 37, loss: 7.126976, lr: 2.2800e-04, norm: 0.6703, dt: 592.86ms, tokens_sec: 884333.06hz
step 38, loss: 7.101166, lr: 2.3400e-04, norm: 1.0400, dt: 591.90ms, tokens_sec: 885763.94hz
step 39, loss: 7.129336, lr: 2.4000e-04, norm: 0.7010, dt: 593.35ms, tokens_sec: 883604.61hz
step 40, loss: 7.069738, lr: 2.4600e-04, norm: 0.8009, dt: 589.67ms, tokens_sec: 889125.07hz
step 41, loss: 6.995358, lr: 2.5200e-04, norm: 0.5461, dt: 592.34ms, tokens_sec: 885106.17hz
step 42, loss: 6.916869, lr: 2.5800e-04, norm: 0.7019, dt: 591.60ms, tokens_sec: 886222.65hz
step 43, loss: 6.966263, lr: 2.6400e-04, norm: 0.8311, dt: 592.10ms, tokens_sec: 885470.05hz
step 44, loss: 6.912752, lr: 2.7000e-04, norm: 1.2629, dt: 593.88ms, tokens_sec: 882821.71hz
step 45, loss: 6.942145, lr: 2.7600e-04, norm: 1.1584, dt: 592.36ms, tokens_sec: 885078.38hz
step 46, loss: 6.898884, lr: 2.8200e-04, norm: 1.0134, dt: 593.46ms, tokens_sec: 883441.67hz
step 47, loss: 6.951670, lr: 2.8800e-04, norm: 0.8514, dt: 592.88ms, tokens_sec: 884300.69hz
step 48, loss: 6.967205, lr: 2.9400e-04, norm: 0.8481, dt: 594.17ms, tokens_sec: 882392.01hz
step 49, loss: 6.863398, lr: 3.0000e-04, norm: 0.7769, dt: 591.65ms, tokens_sec: 886150.87hz
step 50, loss: 6.912861, lr: 3.0600e-04, norm: 0.5695, dt: 594.02ms, tokens_sec: 882613.72hz
step 51, loss: 6.855783, lr: 3.1200e-04, norm: 0.7913, dt: 595.71ms, tokens_sec: 880108.50hz
step 52, loss: 6.829021, lr: 3.1800e-04, norm: 0.4423, dt: 592.78ms, tokens_sec: 884451.50hz
step 53, loss: 6.755204, lr: 3.2400e-04, norm: 0.5810, dt: 591.03ms, tokens_sec: 887072.42hz
step 54, loss: 6.766523, lr: 3.3000e-04, norm: 0.5850, dt: 595.77ms, tokens_sec: 880023.62hz
step 55, loss: 6.752426, lr: 3.3600e-04, norm: 0.5777, dt: 591.97ms, tokens_sec: 885662.99hz
step 56, loss: 6.718057, lr: 3.4200e-04, norm: 0.6819, dt: 593.40ms, tokens_sec: 883535.38hz
step 57, loss: 6.701264, lr: 3.4800e-04, norm: 0.4884, dt: 591.91ms, tokens_sec: 885752.17hz
step 58, loss: 6.620505, lr: 3.5400e-04, norm: 0.4679, dt: 590.53ms, tokens_sec: 887830.26hz
step 59, loss: 6.584840, lr: 3.6000e-04, norm: 0.3641, dt: 596.72ms, tokens_sec: 878614.36hz
step 60, loss: 6.590156, lr: 3.6600e-04, norm: 0.3765, dt: 592.53ms, tokens_sec: 884827.31hz
step 61, loss: 6.607313, lr: 3.7200e-04, norm: 0.4724, dt: 594.18ms, tokens_sec: 882366.17hz
step 62, loss: 6.502783, lr: 3.7800e-04, norm: 0.5086, dt: 595.35ms, tokens_sec: 880641.06hz
step 63, loss: 6.494860, lr: 3.8400e-04, norm: 0.6715, dt: 595.74ms, tokens_sec: 880062.36hz
step 64, loss: 6.480182, lr: 3.9000e-04, norm: 0.6863, dt: 593.61ms, tokens_sec: 883220.97hz
step 65, loss: 6.537104, lr: 3.9600e-04, norm: 0.7059, dt: 596.02ms, tokens_sec: 879645.19hz
step 66, loss: 6.452443, lr: 4.0200e-04, norm: 0.8421, dt: 592.09ms, tokens_sec: 885481.46hz
step 67, loss: 6.478284, lr: 4.0800e-04, norm: 0.7167, dt: 595.60ms, tokens_sec: 880267.04hz
step 68, loss: 6.454010, lr: 4.1400e-04, norm: 0.6282, dt: 593.73ms, tokens_sec: 883046.83hz
step 69, loss: 6.332802, lr: 4.2000e-04, norm: 0.4355, dt: 593.18ms, tokens_sec: 883854.28hz
step 70, loss: 6.325498, lr: 4.2600e-04, norm: 0.6249, dt: 593.38ms, tokens_sec: 883564.85hz
step 71, loss: 6.350534, lr: 4.3200e-04, norm: 0.7324, dt: 597.87ms, tokens_sec: 876926.61hz
step 72, loss: 6.307436, lr: 4.3800e-04, norm: 0.6661, dt: 594.41ms, tokens_sec: 882037.37hz
step 73, loss: 6.300575, lr: 4.4400e-04, norm: 0.5369, dt: 595.18ms, tokens_sec: 880895.06hz
step 74, loss: 6.225623, lr: 4.5000e-04, norm: 0.5567, dt: 597.59ms, tokens_sec: 877332.10hz
step 75, loss: 6.274360, lr: 4.5600e-04, norm: 0.6622, dt: 594.26ms, tokens_sec: 882250.76hz
step 76, loss: 6.215323, lr: 4.6200e-04, norm: 0.6044, dt: 593.69ms, tokens_sec: 883098.96hz
step 77, loss: 6.257473, lr: 4.6800e-04, norm: 0.7811, dt: 593.51ms, tokens_sec: 883364.66hz
step 78, loss: 6.233356, lr: 4.7400e-04, norm: 0.7285, dt: 596.88ms, tokens_sec: 878379.57hz
step 79, loss: 6.168954, lr: 4.8000e-04, norm: 0.7126, dt: 594.22ms, tokens_sec: 882320.14hz
step 80, loss: 6.186231, lr: 4.8600e-04, norm: 0.7961, dt: 593.50ms, tokens_sec: 883387.37hz
step 81, loss: 6.158449, lr: 4.9200e-04, norm: 0.6182, dt: 591.80ms, tokens_sec: 885914.18hz
step 82, loss: 6.124106, lr: 4.9800e-04, norm: 0.6628, dt: 594.92ms, tokens_sec: 881273.50hz
step 83, loss: 6.052746, lr: 5.0400e-04, norm: 0.6068, dt: 595.32ms, tokens_sec: 880687.62hz
step 84, loss: 6.082649, lr: 5.1000e-04, norm: 0.9570, dt: 596.44ms, tokens_sec: 879028.79hz
step 85, loss: 6.045674, lr: 5.1600e-04, norm: 0.8026, dt: 593.29ms, tokens_sec: 883698.71hz
step 86, loss: 6.037939, lr: 5.2200e-04, norm: 0.7936, dt: 596.23ms, tokens_sec: 879339.87hz
step 87, loss: 6.060185, lr: 5.2800e-04, norm: 0.5602, dt: 595.50ms, tokens_sec: 880421.05hz
step 88, loss: 6.029877, lr: 5.3400e-04, norm: 0.5118, dt: 593.17ms, tokens_sec: 883868.49hz
step 89, loss: 6.079013, lr: 5.4000e-04, norm: 0.6720, dt: 594.80ms, tokens_sec: 881448.00hz
step 90, loss: 6.023225, lr: 5.4600e-04, norm: 0.7693, dt: 595.96ms, tokens_sec: 879732.82hz
step 91, loss: 6.004030, lr: 5.5200e-04, norm: 0.6225, dt: 594.16ms, tokens_sec: 882408.66hz
step 92, loss: 6.061889, lr: 5.5800e-04, norm: 0.5697, dt: 594.66ms, tokens_sec: 881662.16hz
step 93, loss: 6.139803, lr: 5.6400e-04, norm: 0.6900, dt: 594.06ms, tokens_sec: 882547.48hz
step 94, loss: 6.176729, lr: 5.7000e-04, norm: 0.9220, dt: 592.69ms, tokens_sec: 884583.49hz
step 95, loss: 6.181695, lr: 5.7600e-04, norm: 0.9614, dt: 593.78ms, tokens_sec: 882961.38hz
step 96, loss: 6.171575, lr: 5.8200e-04, norm: 1.3713, dt: 592.99ms, tokens_sec: 884146.39hz
step 97, loss: 6.074457, lr: 5.8800e-04, norm: 0.7929, dt: 594.18ms, tokens_sec: 882376.43hz
step 98, loss: 6.125370, lr: 5.9400e-04, norm: 0.7910, dt: 592.79ms, tokens_sec: 884440.83hz
step 99, loss: 6.085923, lr: 6.0000e-04, norm: 0.7802, dt: 592.60ms, tokens_sec: 884729.41hz
step 100, loss: 6.110308, lr: 6.0600e-04, norm: 0.7682, dt: 593.14ms, tokens_sec: 883920.00hz
step 101, loss: 6.031819, lr: 6.1200e-04, norm: 0.8425, dt: 596.84ms, tokens_sec: 878442.73hz
step 102, loss: 6.022346, lr: 6.1800e-04, norm: 0.7224, dt: 595.00ms, tokens_sec: 881158.38hz
step 103, loss: 5.934392, lr: 6.2400e-04, norm: 0.8285, dt: 593.02ms, tokens_sec: 884101.95hz
step 104, loss: 6.011749, lr: 6.3000e-04, norm: 0.7064, dt: 595.21ms, tokens_sec: 880844.95hz
step 105, loss: 5.986936, lr: 6.3600e-04, norm: 0.5504, dt: 591.71ms, tokens_sec: 886054.11hz
step 106, loss: 5.954245, lr: 6.4200e-04, norm: 0.5971, dt: 594.66ms, tokens_sec: 881655.45hz
step 107, loss: 5.898023, lr: 6.4800e-04, norm: 0.6768, dt: 596.60ms, tokens_sec: 878798.35hz
step 108, loss: 5.941607, lr: 6.5400e-04, norm: 0.5395, dt: 596.42ms, tokens_sec: 879061.47hz
step 109, loss: 5.930449, lr: 6.6000e-04, norm: 0.6826, dt: 593.64ms, tokens_sec: 883178.76hz
step 110, loss: 5.923587, lr: 6.6600e-04, norm: 0.8359, dt: 594.58ms, tokens_sec: 881777.42hz
step 111, loss: 5.862506, lr: 6.7200e-04, norm: 0.6321, dt: 596.58ms, tokens_sec: 878818.72hz
step 112, loss: 5.829481, lr: 6.7800e-04, norm: 0.4471, dt: 595.73ms, tokens_sec: 880078.56hz
step 113, loss: 5.839146, lr: 6.8400e-04, norm: 0.4734, dt: 597.32ms, tokens_sec: 877740.77hz
step 114, loss: 5.882308, lr: 6.9000e-04, norm: 0.5175, dt: 595.46ms, tokens_sec: 880476.75hz
step 115, loss: 5.850164, lr: 6.9600e-04, norm: 0.6040, dt: 591.05ms, tokens_sec: 887044.15hz
step 116, loss: 5.807075, lr: 7.0200e-04, norm: 0.9009, dt: 593.90ms, tokens_sec: 882788.05hz
step 117, loss: 5.752776, lr: 7.0800e-04, norm: 0.7511, dt: 595.64ms, tokens_sec: 880215.59hz
step 118, loss: 5.732106, lr: 7.1400e-04, norm: 0.5534, dt: 595.86ms, tokens_sec: 879877.84hz
step 119, loss: 5.746448, lr: 7.2000e-04, norm: 0.4845, dt: 592.34ms, tokens_sec: 885115.78hz
step 120, loss: 5.741299, lr: 7.2600e-04, norm: 0.6888, dt: 595.70ms, tokens_sec: 880128.23hz
step 121, loss: 5.714906, lr: 7.3200e-04, norm: 1.0789, dt: 593.88ms, tokens_sec: 882812.50hz
step 122, loss: 5.726999, lr: 7.3800e-04, norm: 0.8017, dt: 595.91ms, tokens_sec: 879816.59hz
step 123, loss: 5.726310, lr: 7.4400e-04, norm: 0.8860, dt: 594.05ms, tokens_sec: 882563.06hz
step 124, loss: 5.700334, lr: 7.5000e-04, norm: 0.5403, dt: 594.53ms, tokens_sec: 881853.80hz
step 125, loss: 5.688685, lr: 7.5600e-04, norm: 0.4689, dt: 591.59ms, tokens_sec: 886228.36hz
step 126, loss: 5.682836, lr: 7.6200e-04, norm: 0.7181, dt: 593.66ms, tokens_sec: 883146.13hz
step 127, loss: 5.679101, lr: 7.6800e-04, norm: 0.9667, dt: 595.66ms, tokens_sec: 880178.95hz
step 128, loss: 5.615424, lr: 7.7400e-04, norm: 0.8512, dt: 592.87ms, tokens_sec: 884323.81hz
step 129, loss: 5.586685, lr: 7.8000e-04, norm: 0.6678, dt: 595.27ms, tokens_sec: 880757.81hz
step 130, loss: 5.607788, lr: 7.8600e-04, norm: 0.4352, dt: 598.02ms, tokens_sec: 876713.34hz
step 131, loss: 5.575801, lr: 7.9200e-04, norm: 0.8132, dt: 596.20ms, tokens_sec: 879383.48hz
step 132, loss: 5.597784, lr: 7.9800e-04, norm: 0.6528, dt: 598.31ms, tokens_sec: 876275.95hz
step 133, loss: 5.520945, lr: 8.0400e-04, norm: 0.8592, dt: 595.62ms, tokens_sec: 880239.55hz
step 134, loss: 5.524290, lr: 8.1000e-04, norm: 0.6194, dt: 596.70ms, tokens_sec: 878649.82hz
step 135, loss: 5.534582, lr: 8.1600e-04, norm: 0.4733, dt: 597.04ms, tokens_sec: 878145.26hz
step 136, loss: 5.491887, lr: 8.2200e-04, norm: 0.4236, dt: 597.68ms, tokens_sec: 877205.76hz
step 137, loss: 5.525478, lr: 8.2800e-04, norm: 0.5207, dt: 594.41ms, tokens_sec: 882031.01hz
step 138, loss: 5.499304, lr: 8.3400e-04, norm: 0.8561, dt: 597.39ms, tokens_sec: 877636.73hz
step 139, loss: 5.677977, lr: 8.4000e-04, norm: 1.0969, dt: 599.01ms, tokens_sec: 875257.17hz
step 140, loss: 5.770267, lr: 8.4600e-04, norm: 0.8169, dt: 594.92ms, tokens_sec: 881269.26hz
step 141, loss: 5.663475, lr: 8.5200e-04, norm: 0.7302, dt: 595.92ms, tokens_sec: 879795.82hz
step 142, loss: 5.693662, lr: 8.5800e-04, norm: 0.8340, dt: 595.54ms, tokens_sec: 880361.48hz
step 143, loss: 5.660901, lr: 8.6400e-04, norm: 0.9030, dt: 596.72ms, tokens_sec: 878611.90hz
step 144, loss: 5.633935, lr: 8.7000e-04, norm: 0.8228, dt: 594.26ms, tokens_sec: 882259.96hz
step 145, loss: 5.635168, lr: 8.7600e-04, norm: 1.3174, dt: 598.00ms, tokens_sec: 876735.36hz
step 146, loss: 5.650793, lr: 8.8200e-04, norm: 0.7805, dt: 593.48ms, tokens_sec: 883409.02hz
step 147, loss: 5.637576, lr: 8.8800e-04, norm: 0.6396, dt: 596.88ms, tokens_sec: 878384.48hz
step 148, loss: 5.663627, lr: 8.9400e-04, norm: 1.0611, dt: 596.57ms, tokens_sec: 878836.98hz
step 149, loss: 5.598711, lr: 9.0000e-04, norm: 0.6348, dt: 596.17ms, tokens_sec: 879426.73hz
step 150, loss: 5.587937, lr: 9.0600e-04, norm: 0.5115, dt: 597.15ms, tokens_sec: 877977.32hz
step 151, loss: 5.482928, lr: 9.1200e-04, norm: 0.5334, dt: 593.77ms, tokens_sec: 882977.33hz
step 152, loss: 5.521679, lr: 9.1800e-04, norm: 0.4974, dt: 595.14ms, tokens_sec: 880947.99hz
step 153, loss: 5.543468, lr: 9.2400e-04, norm: 0.5471, dt: 594.40ms, tokens_sec: 882038.44hz
step 154, loss: 5.462177, lr: 9.3000e-04, norm: 0.5598, dt: 596.55ms, tokens_sec: 878871.05hz
step 155, loss: 5.457595, lr: 9.3600e-04, norm: 0.5782, dt: 597.19ms, tokens_sec: 877926.14hz
step 156, loss: 5.466510, lr: 9.4200e-04, norm: 0.7492, dt: 597.65ms, tokens_sec: 877247.40hz
step 157, loss: 5.541701, lr: 9.4800e-04, norm: 0.5743, dt: 592.70ms, tokens_sec: 884571.75hz
step 158, loss: 5.533757, lr: 9.5400e-04, norm: 0.4827, dt: 597.97ms, tokens_sec: 876783.25hz
step 159, loss: 5.436313, lr: 9.6000e-04, norm: 0.5073, dt: 593.46ms, tokens_sec: 883445.58hz
step 160, loss: 5.365703, lr: 9.6600e-04, norm: 0.5556, dt: 600.64ms, tokens_sec: 872881.13hz
step 161, loss: 5.473899, lr: 9.7200e-04, norm: 0.5952, dt: 593.70ms, tokens_sec: 883082.29hz
step 162, loss: 5.381055, lr: 9.7800e-04, norm: 0.5481, dt: 594.09ms, tokens_sec: 882502.14hz
step 163, loss: 5.344955, lr: 9.8400e-04, norm: 0.4972, dt: 596.68ms, tokens_sec: 878678.25hz
step 164, loss: 5.308568, lr: 9.9000e-04, norm: 0.3810, dt: 594.55ms, tokens_sec: 881825.15hz
step 165, loss: 5.364609, lr: 9.9600e-04, norm: 0.4130, dt: 593.59ms, tokens_sec: 883244.03hz
step 166, loss: 5.233983, lr: 1.0020e-03, norm: 0.4188, dt: 595.24ms, tokens_sec: 880798.73hz
step 167, loss: 5.308747, lr: 1.0080e-03, norm: 0.4583, dt: 599.59ms, tokens_sec: 874414.23hz
step 168, loss: 5.304877, lr: 1.0140e-03, norm: 0.4936, dt: 596.12ms, tokens_sec: 879497.08hz
step 169, loss: 5.278440, lr: 1.0200e-03, norm: 0.5955, dt: 596.78ms, tokens_sec: 878524.15hz
step 170, loss: 5.288632, lr: 1.0260e-03, norm: 0.6798, dt: 594.73ms, tokens_sec: 881552.95hz
step 171, loss: 5.297996, lr: 1.0320e-03, norm: 0.5339, dt: 595.12ms, tokens_sec: 880973.40hz
step 172, loss: 5.248091, lr: 1.0380e-03, norm: 0.4703, dt: 595.28ms, tokens_sec: 880741.58hz
step 173, loss: 5.225959, lr: 1.0440e-03, norm: 0.4991, dt: 596.73ms, tokens_sec: 878597.86hz
step 174, loss: 5.190073, lr: 1.0500e-03, norm: 0.6485, dt: 596.36ms, tokens_sec: 879149.33hz
step 175, loss: 5.235892, lr: 1.0560e-03, norm: 0.8750, dt: 595.43ms, tokens_sec: 880525.40hz
step 176, loss: 5.185463, lr: 1.0620e-03, norm: 0.6519, dt: 596.94ms, tokens_sec: 878289.76hz
step 177, loss: 5.261566, lr: 1.0680e-03, norm: 0.6147, dt: 593.47ms, tokens_sec: 883433.51hz
step 178, loss: 5.155129, lr: 1.0740e-03, norm: 0.5821, dt: 595.56ms, tokens_sec: 880328.35hz
step 179, loss: 5.136531, lr: 1.0800e-03, norm: 0.5652, dt: 597.88ms, tokens_sec: 876905.28hz
step 180, loss: 5.114397, lr: 1.0860e-03, norm: 0.4662, dt: 593.59ms, tokens_sec: 883247.58hz
step 181, loss: 5.125524, lr: 1.0920e-03, norm: 0.3483, dt: 591.81ms, tokens_sec: 885904.18hz
step 182, loss: 5.127416, lr: 1.0980e-03, norm: 0.3918, dt: 597.65ms, tokens_sec: 877252.65hz
step 183, loss: 5.118496, lr: 1.1040e-03, norm: 0.4198, dt: 593.63ms, tokens_sec: 883187.27hz
step 184, loss: 5.141417, lr: 1.1100e-03, norm: 0.4922, dt: 595.67ms, tokens_sec: 880169.44hz
step 185, loss: 5.232753, lr: 1.1160e-03, norm: 0.6607, dt: 593.28ms, tokens_sec: 883710.43hz
step 186, loss: 5.284499, lr: 1.1220e-03, norm: 0.6825, dt: 597.12ms, tokens_sec: 878024.64hz
step 187, loss: 5.328223, lr: 1.1280e-03, norm: 0.6025, dt: 594.92ms, tokens_sec: 881279.15hz
step 188, loss: 5.260984, lr: 1.1340e-03, norm: 0.5440, dt: 594.03ms, tokens_sec: 882593.53hz
step 189, loss: 5.252832, lr: 1.1400e-03, norm: 0.5148, dt: 593.99ms, tokens_sec: 882660.48hz
step 190, loss: 5.311740, lr: 1.1460e-03, norm: 0.7280, dt: 595.67ms, tokens_sec: 880162.40hz
step 191, loss: 5.263257, lr: 1.1520e-03, norm: 0.5625, dt: 600.28ms, tokens_sec: 873399.78hz
step 192, loss: 5.238038, lr: 1.1580e-03, norm: 0.5507, dt: 593.06ms, tokens_sec: 884043.31hz
step 193, loss: 5.207063, lr: 1.1640e-03, norm: 0.4521, dt: 594.57ms, tokens_sec: 881796.86hz
step 194, loss: 5.200114, lr: 1.1700e-03, norm: 0.5877, dt: 594.83ms, tokens_sec: 881413.03hz
step 195, loss: 5.234857, lr: 1.1760e-03, norm: 0.7054, dt: 595.74ms, tokens_sec: 880062.01hz
step 196, loss: 5.182004, lr: 1.1820e-03, norm: 0.6237, dt: 599.32ms, tokens_sec: 874808.01hz
step 197, loss: 5.187434, lr: 1.1880e-03, norm: 0.4889, dt: 598.61ms, tokens_sec: 875848.76hz
step 198, loss: 5.148558, lr: 1.1940e-03, norm: 0.5596, dt: 595.16ms, tokens_sec: 880924.70hz
step 199, loss: 5.179358, lr: 1.2000e-03, norm: 0.5472, dt: 598.05ms, tokens_sec: 876655.32hz
step 200, loss: 5.175925, lr: 1.2000e-03, norm: 0.5978, dt: 593.16ms, tokens_sec: 883896.55hz
step 201, loss: 5.185371, lr: 1.2000e-03, norm: 0.6727, dt: 600.54ms, tokens_sec: 873031.19hz
step 202, loss: 5.142753, lr: 1.2000e-03, norm: 0.5141, dt: 597.63ms, tokens_sec: 877282.40hz
step 203, loss: 5.170155, lr: 1.2000e-03, norm: 0.6304, dt: 598.51ms, tokens_sec: 875992.50hz
step 204, loss: 5.177992, lr: 1.2000e-03, norm: 0.5172, dt: 596.35ms, tokens_sec: 879165.85hz
step 205, loss: 5.130290, lr: 1.2000e-03, norm: 0.5490, dt: 600.97ms, tokens_sec: 872400.48hz
step 206, loss: 5.153809, lr: 1.2000e-03, norm: 0.4360, dt: 595.81ms, tokens_sec: 879956.36hz
step 207, loss: 5.131910, lr: 1.2000e-03, norm: 0.4968, dt: 593.81ms, tokens_sec: 882916.71hz
step 208, loss: 5.048496, lr: 1.2000e-03, norm: 0.5554, dt: 592.03ms, tokens_sec: 885573.46hz
step 209, loss: 5.053225, lr: 1.2000e-03, norm: 0.6523, dt: 600.35ms, tokens_sec: 873297.80hz
step 210, loss: 5.116831, lr: 1.2000e-03, norm: 0.7307, dt: 597.70ms, tokens_sec: 877179.17hz
step 211, loss: 5.106363, lr: 1.2000e-03, norm: 0.5277, dt: 598.52ms, tokens_sec: 875972.61hz
step 212, loss: 5.169532, lr: 1.2000e-03, norm: 1.1862, dt: 598.77ms, tokens_sec: 875606.03hz
step 213, loss: 5.105762, lr: 1.2000e-03, norm: 0.5601, dt: 599.29ms, tokens_sec: 874843.85hz
step 214, loss: 5.134045, lr: 1.2000e-03, norm: 0.7101, dt: 597.99ms, tokens_sec: 876745.85hz
step 215, loss: 5.114060, lr: 1.2000e-03, norm: 0.6929, dt: 593.71ms, tokens_sec: 883066.68hz
step 216, loss: 5.100925, lr: 1.2000e-03, norm: 0.8392, dt: 597.45ms, tokens_sec: 877537.96hz
step 217, loss: 5.101280, lr: 1.2000e-03, norm: 0.6223, dt: 598.66ms, tokens_sec: 875774.81hz
step 218, loss: 5.082234, lr: 1.2000e-03, norm: 0.6429, dt: 596.00ms, tokens_sec: 879681.08hz
step 219, loss: 5.104574, lr: 1.2000e-03, norm: 0.7154, dt: 599.68ms, tokens_sec: 874281.43hz
step 220, loss: 4.953972, lr: 1.2000e-03, norm: 0.4337, dt: 598.92ms, tokens_sec: 875387.48hz
step 221, loss: 4.986680, lr: 1.2000e-03, norm: 0.3735, dt: 597.04ms, tokens_sec: 878145.96hz
step 222, loss: 4.978592, lr: 1.2000e-03, norm: 0.4292, dt: 599.40ms, tokens_sec: 874683.09hz
step 223, loss: 4.923734, lr: 1.2000e-03, norm: 0.3774, dt: 599.31ms, tokens_sec: 874818.79hz
step 224, loss: 4.974596, lr: 1.2000e-03, norm: 0.4325, dt: 594.97ms, tokens_sec: 881204.64hz
step 225, loss: 4.908477, lr: 1.2000e-03, norm: 0.3438, dt: 595.88ms, tokens_sec: 879858.48hz
step 226, loss: 4.865251, lr: 1.2000e-03, norm: 0.3682, dt: 598.38ms, tokens_sec: 876176.44hz
step 227, loss: 4.997397, lr: 1.2000e-03, norm: 0.3813, dt: 600.05ms, tokens_sec: 873736.05hz
step 228, loss: 4.874974, lr: 1.2000e-03, norm: 0.3013, dt: 598.27ms, tokens_sec: 876341.95hz
step 229, loss: 4.862387, lr: 1.2000e-03, norm: 0.2741, dt: 601.01ms, tokens_sec: 872347.88hz
step 230, loss: 4.848671, lr: 1.2000e-03, norm: 0.2708, dt: 597.27ms, tokens_sec: 877810.49hz
step 231, loss: 4.869470, lr: 1.2000e-03, norm: 0.2552, dt: 601.11ms, tokens_sec: 872206.36hz
step 232, loss: 5.049229, lr: 1.2000e-03, norm: 0.2721, dt: 598.67ms, tokens_sec: 875748.30hz
step 233, loss: 5.003025, lr: 1.2000e-03, norm: 0.2729, dt: 596.63ms, tokens_sec: 878753.05hz
step 234, loss: 5.034957, lr: 1.2000e-03, norm: 0.2573, dt: 599.11ms, tokens_sec: 875109.84hz
